0	0
1	3.87987e-07
2	4.31285e-07
3	6.06765e-07
4	5.97301e-07
5	5.9535e-07
6	6.78515e-07
7	7.0658e-07
8	7.26306e-07
9	7.20962e-07
10	7.73045e-07
11	7.47258e-07
12	7.7951e-07
13	8.34925e-07
14	8.13993e-07
15	8.32102e-07
16	8.74513e-07
17	8.48054e-07
18	8.43201e-07
19	8.76368e-07
20	8.74001e-07
21	8.82757e-07
22	8.97392e-07
23	8.9298e-07
24	9.0264e-07
25	9.16053e-07
26	9.86966e-07
27	9.4563e-07
28	9.41195e-07
29	9.60023e-07
30	9.82254e-07
31	9.84387e-07
32	9.72361e-07
33	9.65468e-07
34	9.73717e-07
35	9.76244e-07
36	9.94847e-07
37	9.99765e-07
38	1.01862e-06
39	1.00947e-06
40	1.05304e-06
41	1.03691e-06
42	1.09311e-06
43	1.10269e-06
44	1.13292e-06
45	1.15402e-06
46	1.14593e-06
47	1.16544e-06
48	1.14927e-06
